state_id,nation_id,name,abbreviation,population,main_language_id
1602,95,"Valle d'Aosta","VAL",128129,0
1603,96,"Lagunes","LAG",3943486,0
1604,96,"Vallée du Bandama","VAL",692335,0
1605,96,"Haut-Sassandra","HAU",297215,0
1606,96,"Bas Sassandra","BAS",295651,0
1607,96,"Lacs","LAC",251147,0
1608,96,"Savanes","SAV",378594,0
1609,96,"Dix-huit Montagnes","DIX",233729,0
1610,96,"Sud-Bandama","SUD",165922,0
1611,96,"Fromager","FRO",188440,0
1612,96,"Moyen-Comoé","MOY",147081,0
1613,96,"Agnéby","AGN",209533,0
1614,96,"Sud-Comoé","SUD",177584,0
1615,96,"Nzi-Comoé","NZI",239351,0
1616,96,"Marahoué","MAR",155316,0
1617,96,"Zanzan","ZAN",102028,0
1618,96,"Worodougou","WOR",70252,0
1619,96,"Denguélé","DEN",49857,0
1620,96,"Moyen-Cavally","MOY",100430,0
1621,96,"Bafing","BAF",27504,0
1622,97,"Kingston","KIN",583958,0
1623,97,"St. Catherine","SAI",247879,0
1624,97,"Manchester","MAN",47115,0
1625,97,"Clarendon","CLA",44755,0
1626,97,"Westmoreland","WES",18616,0
1627,97,"Portland","POR",14234,0
1628,97,"St. Ann","SAI",36771,0
1629,97,"St. Thomas","SAI",35394,0
1630,97,"Trelawney","TRE",11228,0
1631,97,"St. Elizabeth","SAI",11191,0
1632,97,"Hanover","HAN",6289,0
1633,98,"Tokyo","TOK",12838435,0
1634,98,"Kanagawa","KAN",8917182,0
1635,98,"Osaka","OSA",8806016,0
1636,98,"Aichi","AIC",7403409,0
1637,98,"Hokkaido","HOK",5535486,0
1638,98,"Hyogo","HYO",5586033,0
1639,98,"Kyoto","KYO",2628864,0
1640,98,"Fukuoka","FUK",5054255,0
1641,98,"Hiroshima","HIR",2868756,0
1642,98,"Saitama","SAI",7112636,0
1643,98,"Miyagi","MIY",2340167,0
1644,98,"Chiba","CHI",6122113,0
1645,98,"Kumamoto","KUM",1820942,0
1646,98,"Okayama","OKA",1948196,0
1647,98,"Shizuoka","SHI",3799930,0
