year,team_id,game_id,league_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws,kp,bbp,wpa,babip
0,0,0,0,0,0,44639,40615,10384,4415,13726,8062,1516,592,214,1594,0,0,5007,4024,0,0,0,0,0,0,1242,0,2322,0,0.2557,0.3228,0.3380,5035.5281,4.4973,0.0823,0.3123,0.6607,100.0000,0.0000,9.8905,9.0145,0.0000,0.2826
0,0,0,0,0,0,44713,41154,11239,0,14738,8777,1623,641,198,1711,0,0,5658,3559,0,0,0,0,0,0,1228,0,2462,0,0.2731,0.3310,0.3581,5478.3213,4.9445,0.0850,0.3209,0.6891,100.0000,0.0000,0.0000,7.9597,0.0000,0.2696
0,0,0,0,0,0,45386,41107,10675,4798,14629,8035,1642,682,316,1691,0,0,5506,4279,0,0,0,0,0,0,1246,0,2640,0,0.2597,0.3295,0.3559,5476.3218,4.8587,0.0962,0.3201,0.6854,100.0000,0.0000,10.5715,9.4280,0.0000,0.2878
0,0,0,0,0,0,44681,40887,10826,0,14227,8408,1591,671,156,1809,0,0,5495,3794,0,0,0,0,0,0,1238,0,2418,0,0.2648,0.3272,0.3480,5285.7643,4.7475,0.0832,0.3155,0.6752,100.0000,0.0000,0.0000,8.4913,0.0000,0.2620
0,0,0,0,0,0,45042,41153,11214,4627,15203,8482,1762,683,287,1576,0,0,5659,3889,0,0,0,0,0,0,1226,0,2732,0,0.2725,0.3353,0.3694,5711.5440,5.1509,0.0969,0.3276,0.7047,100.0000,0.0000,10.2726,8.6342,0.0000,0.3015
0,0,0,0,0,0,43654,39911,10209,4670,13404,7953,1476,621,159,1674,0,0,4823,3743,0,0,0,0,0,0,1228,0,2256,0,0.2558,0.3196,0.3358,4873.2156,4.4299,0.0801,0.3064,0.6555,100.0000,0.0000,10.6978,8.5742,0.0000,0.2865
0,0,0,0,0,0,44831,41301,10812,4605,14626,8263,1594,645,310,1576,0,0,5141,3530,0,0,0,0,0,0,1240,0,2549,0,0.2618,0.3199,0.3541,5234.8316,4.6358,0.0923,0.3132,0.6740,100.0000,0.0000,10.2719,7.8740,0.0000,0.2886
0,0,0,0,0,0,44663,40743,10085,5111,13160,7904,1435,598,148,1657,1370,0,4610,3920,0,0,0,0,0,0,1262,0,2181,0,0.2475,0.3136,0.3230,4254.9988,3.5870,0.0755,0.3087,0.6366,54.7407,0.0000,11.4435,8.7768,0.0000,0.2800
0,0,0,0,0,0,44446,40846,10254,4655,13651,7934,1510,543,267,1435,0,0,4798,3600,0,0,0,0,0,0,1250,0,2320,0,0.2510,0.3117,0.3342,4779.4212,4.2182,0.0832,0.3122,0.6459,100.0000,0.0000,10.4734,8.0997,0.0000,0.2780
0,0,0,0,0,0,44521,40304,10005,4868,13128,7819,1409,617,160,1443,1051,0,4922,4217,0,0,0,0,0,0,1242,0,2186,0,0.2482,0.3194,0.3257,4430.1078,3.8154,0.0775,0.3188,0.6452,57.8589,0.0000,10.9342,9.4719,0.0000,0.2791
0,0,0,0,0,0,44154,40888,10140,4728,13514,7788,1555,572,225,1194,995,0,4522,3266,0,0,0,0,0,0,1248,0,2352,0,0.2480,0.3036,0.3305,4211.7797,3.5825,0.0825,0.3113,0.6341,54.5455,0.0000,10.7080,7.3968,0.0000,0.2759
0,0,0,0,0,0,44899,40837,10147,4707,13223,7911,1540,552,144,1425,0,0,4599,4062,0,0,0,0,0,0,1250,0,2236,0,0.2485,0.3165,0.3238,4753.3550,4.1818,0.0753,0.3027,0.6403,100.0000,0.0000,10.4835,9.0470,0.0000,0.2780
