player_id,league_id,streak_id,value,has_ended,started,ended
1068,152,1,2,0,"2019-4-22",NULL
1068,152,3,1,0,"2019-4-26",NULL
1069,153,6,1,0,"2019-4-10",NULL
1069,158,5,1,0,"2019-4-22",NULL
1069,158,7,1,0,"2019-4-22",NULL
1070,158,6,1,1,"2019-4-4","2019-4-13"
1070,158,7,3,1,"2019-4-8","2019-4-23"
1070,158,5,2,1,"2019-4-13","2019-4-23"
1070,158,6,1,0,"2019-4-23",NULL
1077,157,6,1,1,"2019-4-10","2019-4-19"
1077,157,5,1,1,"2019-4-19","2019-4-20"
1077,157,6,1,0,"2019-4-20",NULL
1078,155,3,3,1,"2019-4-6","2019-4-12"
1078,155,2,1,1,"2019-4-10","2019-4-11"
1078,155,0,4,1,"2019-4-18","2019-4-23"
1078,155,1,2,1,"2019-4-24","2019-4-26"
1078,155,0,2,0,"2019-4-25",NULL
1078,155,3,2,0,"2019-4-25",NULL
1084,158,6,1,0,"2019-4-17",NULL
1090,160,0,3,1,"2019-4-15","2019-4-18"
1090,160,1,5,1,"2019-4-16","2019-4-22"
1090,160,2,1,1,"2019-4-17","2019-4-18"
1090,160,0,6,0,"2019-4-20",NULL
1090,160,3,1,1,"2019-4-24","2019-4-25"
1100,160,0,2,1,"2019-4-9","2019-4-18"
1100,160,1,2,1,"2019-4-9","2019-4-18"
1100,160,3,1,0,"2019-4-22",NULL
1100,160,1,1,0,"2019-4-22",NULL
1112,155,5,1,1,"2019-4-4","2019-4-14"
1112,155,7,2,1,"2019-4-4","2019-4-14"
1112,155,6,3,0,"2019-4-14",NULL
1113,153,5,1,0,"2019-4-8",NULL
1114,150,7,1,1,"2019-3-30","2019-4-6"
1114,150,6,1,1,"2019-4-6","2019-4-15"
1114,150,7,2,0,"2019-4-10",NULL
1114,150,5,1,0,"2019-4-15",NULL
1114,152,6,1,0,"2019-4-19",NULL
1114,152,7,1,0,"2019-4-25",NULL
1115,159,4,1,0,"2019-4-4",NULL
1115,159,5,2,0,"2019-4-8",NULL
1116,156,7,1,1,"2019-4-6","2019-4-11"
1116,156,6,3,0,"2019-4-11",NULL
1118,151,7,2,1,"2019-4-5","2019-4-15"
1118,151,5,1,1,"2019-4-11","2019-4-15"
1118,151,6,2,1,"2019-4-15","2019-4-25"
1118,151,5,1,0,"2019-4-25",NULL
1118,151,7,1,0,"2019-4-25",NULL
1119,151,6,1,0,"2019-4-5",NULL
1119,150,5,1,1,"2019-4-15","2019-4-26"
1119,150,7,2,1,"2019-4-15","2019-4-26"
1119,150,6,1,0,"2019-4-26",NULL
1122,151,6,3,0,"2019-4-4",NULL
1122,151,7,1,1,"2019-4-13","2019-4-24"
1123,160,5,1,0,"2019-4-5",NULL
1124,151,4,1,0,"2019-4-4",NULL
1124,151,5,1,0,"2019-4-14",NULL
1124,151,7,3,0,"2019-4-14",NULL
1125,159,0,4,1,"2019-4-14","2019-4-18"
1125,159,2,1,1,"2019-4-19","2019-4-20"
1125,159,3,2,1,"2019-4-19","2019-4-22"
1125,159,1,2,1,"2019-4-19","2019-4-22"
1125,159,5,1,0,"2019-4-23",NULL
1126,153,6,1,1,"2019-4-5","2019-4-14"
1126,153,7,4,0,"2019-4-9",NULL
1126,153,5,2,0,"2019-4-14",NULL
1129,152,6,2,1,"2019-4-9","2019-4-20"
1129,152,5,1,1,"2019-4-20","2019-4-26"
1129,152,7,1,1,"2019-4-20","2019-4-26"
1129,152,6,1,0,"2019-4-26",NULL
1130,160,4,5,1,"2019-4-5","2019-4-23"
1130,160,5,1,1,"2019-4-20","2019-4-23"
1130,160,6,1,0,"2019-4-23",NULL
1130,160,4,1,0,"2019-4-24",NULL
1131,150,5,2,1,"2019-3-31","2019-4-19"
1131,150,7,3,1,"2019-3-31","2019-4-19"
1131,150,6,2,0,"2019-4-19",NULL
1135,155,5,1,0,"2019-4-7",NULL
1135,155,7,2,0,"2019-4-7",NULL
1138,153,6,2,0,"2019-4-5",NULL
1138,153,7,1,1,"2019-4-9","2019-4-14"
1138,153,7,1,0,"2019-4-19",NULL
1138,159,5,1,0,"2019-4-25",NULL
1138,159,7,1,0,"2019-4-25",NULL
1140,151,0,4,1,"2019-4-13","2019-4-21"
1140,151,2,1,1,"2019-4-17","2019-4-19"
1140,151,1,2,1,"2019-4-17","2019-4-21"
1140,151,3,1,1,"2019-4-24","2019-4-26"
1141,158,6,1,1,"2019-4-5","2019-4-23"
1141,158,5,1,0,"2019-4-23",NULL
1141,158,4,1,0,"2019-4-25",NULL
1142,151,0,5,1,"2019-4-15","2019-4-21"
1142,151,2,1,1,"2019-4-15","2019-4-16"
1142,151,3,4,1,"2019-4-15","2019-4-20"
1142,151,1,5,1,"2019-4-15","2019-4-21"
1142,151,0,2,0,"2019-4-25",NULL
1142,151,3,2,0,"2019-4-25",NULL
1142,151,1,1,0,"2019-4-26",NULL
1143,160,5,2,0,"2019-4-7",NULL
1143,160,7,4,0,"2019-4-7",NULL
1144,159,0,5,1,"2019-4-5","2019-4-12"
1144,159,2,1,1,"2019-4-5","2019-4-5"
1144,159,3,2,1,"2019-4-5","2019-4-8"
1144,159,0,6,0,"2019-4-16",NULL
1144,159,1,2,1,"2019-4-22","2019-4-26"
1144,159,3,1,0,"2019-4-26",NULL
1146,160,0,1,1,"2019-4-14","2019-4-15"
1146,160,3,1,1,"2019-4-14","2019-4-15"
1146,160,1,1,1,"2019-4-15","2019-4-16"
1146,160,0,2,0,"2019-4-22",NULL
1151,155,1,3,1,"2019-4-4","2019-4-7"
1151,155,0,8,1,"2019-4-12","2019-4-22"
1151,155,3,4,1,"2019-4-13","2019-4-18"
1151,155,2,1,1,"2019-4-20","2019-4-22"
1154,158,1,5,1,"2019-4-6","2019-4-11"
1154,158,0,2,1,"2019-4-9","2019-4-11"
1154,158,3,1,1,"2019-4-14","2019-4-15"
1154,158,1,2,0,"2019-4-18",NULL
1154,158,0,1,0,"2019-4-19",NULL
1154,158,2,1,0,"2019-4-19",NULL
1154,158,3,1,0,"2019-4-19",NULL
1154,154,0,3,1,"2019-4-20","2019-4-23"
1154,154,3,3,1,"2019-4-20","2019-4-23"
1154,154,1,3,1,"2019-4-20","2019-4-23"
1154,154,2,1,1,"2019-4-22","2019-4-23"
1155,158,0,8,1,"2019-4-6","2019-4-14"
1155,158,1,5,1,"2019-4-19","2019-4-25"
1155,158,3,2,1,"2019-4-20","2019-4-23"
1155,158,2,1,1,"2019-4-24","2019-4-25"
1160,151,1,1,1,"2019-4-22","2019-4-23"
1160,151,0,2,1,"2019-4-23","2019-4-25"
1160,151,3,1,1,"2019-4-24","2019-4-25"
